V,IGKJ1,IGKJ2,IGKJ3,IGKJ4,IGKJ5
IGKV1-05,0.9975471,-0.467016432,,-0.833157315,
IGKV1-09,-0.467016432,-0.467016432,-0.467016432,-0.833157315,-0.467016432
IGKV1-12,,,-0.833157315,-0.467016432,-0.833157315
IGKV1-16,-0.833157315,,,-0.833157315,
IGKV1-27,-0.833157315,,,,
IGKV1-33,-0.833157315,0.631406217,1.363687983,-0.467016432,-0.467016432
IGKV1-39,2.828251515,3.194392398,-0.833157315,2.095969749,1.363687983
IGKV2-28,-0.100875549,-0.833157315,-0.833157315,-0.833157315,-0.833157315
IGKV2-30,,-0.833157315,,,
IGKV2-40,,-0.833157315,,,
IGKV2D-29,,-0.833157315,,-0.833157315,-0.833157315
IGKV3-11,-0.467016432,-0.467016432,-0.100875549,0.265265334,-0.833157315
IGKV3-15,2.095969749,0.265265334,,0.631406217,-0.833157315
IGKV3-20,1.729828866,1.729828866,-0.467016432,-0.100875549,-0.467016432
IGKV3D-20,,,-0.833157315,,
IGKV4-01,0.631406217,0.631406217,,0.631406217,
IGKV6-21,,,,-0.833157315,